Título_Público Descricao_pública																																																				
Açúcar de frutas e aplicação em bolos como substituto da sacarose O uso de inovações tecnológicas auxilia as indústrias a desenvolverem modelos sustentáveis de produção	produtos e serviços de forma sustentável a partir de recursos de base biológica com papel importante no desenvolvimento econômico do Brasil	dessa maneira	contribui para os Objetivos de Desenvolvimento Sustentável (ODS) estabelecidos pela Organização das Nações Unidas (ONU) especialmente no âmbito do Objetivo 12 (Assegurar padrões de produção e de consumo sustentáveis). Diante desse cenário	a presenta proposta buscará desenvolver e produzir frutose em pó  que substitua a sacarose para atender o mercado de indústrias de alimentos.																																																
Desenvolver uma linha de farofas com castanhas brasileiras e adição de proteína animal O uso de inovações tecnológicas auxilia as indústrias a desenvolverem modelos sustentáveis de produção	destaca-se a necessidade de pesquisas com o objetivo de desenvolver produto inovador pronto para consumo	agregação de valor e diferenciação de sabores	em especial produtos oriundos das florestas brasileiras que contribuem para o desenvolvimento da bioeconomia no Brasil.  Esse estudo também se propõe a avaliar as características do novo produto para fins de informação nutricional da rotulagem e acompanhar o período de vida útil do produto. A empresa está em busca de apoio na inovação e melhoria dos processos para desenvolver uma linha de produção sustentável com o uso de castanhas brasileiras	devido a grande diversidade dessas castanhas com alto valor nutricional e com sabor	aroma e alto nível de aceitação ampliando a diversificação de produtos.																																															
Desenvolvimento de cobertura líquida para sorvete O Brasil é considerado um país com a maior biodiversidade do mundo	com diferentes espécies nos biomas da Amazônia	Mata Atlântica e Cerrado	onde são encontradas plantas frutíferas nativas e importadas que possuem características nutricionais importantes. Dessa forma	busca-se desenvolver produtos inovadores com base nessas espécies promovendo o Desenvolvimento Sustentável (DS) com benefícios ambientais	sociais e econômicos	o que contribui para o desenvolvimento da bioeconomia no Brasil. A presente proposta está diretamente ligada à utilização de processos tecnológicos/biotecnológicos para o desenvolvimento e valorização de produtos a partir de Plantas Alimentícias Não Convencionais (PANC)	alimentos e nutrição humana	linhas estas	relacionados aos Objetivos de Desenvolvimento Sustentável (ODS) da Organização das Nações Unidas (ONU).																																											
Desenvolvimento de conserva de tomate cereja O Brasil é considerado o país com maior biodiversidade do mundo	com diferentes espécies nos biomas da Amazônia	Mata Atlântica e Cerrado	onde são encontradas plantas frutíferas nativas	que possuem características nutricionais importantes. A maior preocupação em promover o Desenvolvimento Sustentável (DS) tem levado à ascensão das inovações sustentáveis	entendidas como as que integram benefícios ambientais	sociais e econômicos	e com diferencial competitivo. Em Mato Grosso do Sul	entre os abundantes frutos nativos do Cerrado	o baru (Dipteryx alata)	têm se destacado por ser fonte de renda para famílias	contribuindo para a conservação da biodiversidade. Neste sentido	através da inovação tecnológica	o objetivo da presente pesquisa é desenvolver uma conserva com espécies do Cerrado	contribuindo para o aumento da competitividade de mercado e consequente fomento da economia além da preservação ambiental.																																						
Desenvolvimento de Processos Industriais de Packaging Fotônico e Arquitetura de Blocos Lógicos para a Nova Geração de Detectores de Raios-X Início do processo de evolução dos Detectores de Raios-X da Pi-Tecnologia para a sua segunda geração	visando novas aplicações científicas com radiação Síncrotron	assim como abrir a possibilidade de utilização dos Detectores de Raios-X para aplicações médicas	uma vez que os sensores semicondutores de Raios-X são mais sensíveis que os convencionais e	por isso	operam com potência e energia mais baixas	sendo	assim	potencialmente indicados para aplicações médicas.																																												
Desenvolvimento de Solução para Supervisão de Isolamento e Alarme de Anunciação. Desenvolvimento de uma solução de supervisão de isolamento e alarme de sinalização de falhas em sistemas elétricos IT	que identifica falhas no menor tempo possível	alerta os envolvidos e informa o operador por meio de uma Interface Homem-Máquina (IHM)	permitindo solucioná-las sem que o sistema elétrico seja desativado e mantendo ligadas áreas críticas	tais como as de hospitais	enfermarias	clínicas e outros ambientes similares.																																														
Desenvolvimento de um MIT Player HDMI Desenvolvimento de um Mini-PC com capacidade para executar o sistema operacional de mercado (Windows IoT ou Android). Sua principal funcionalidade consiste em receber conteúdo (vídeos e imagens) por meio de suas interfaces de rede (Ethernet e Wi-Fi)	e transmitir posteriormente esse conteúdo via saída de vídeo HDMI.																																																			
Design de Hardware de Módulos Fotônicos para Comunicações Ópticas O objetivo deste PROJETO é criação de um novo design de Hardware para os protótipos de Transceptores para Comunicação Óptica Bidirecional da PARCEIRA	a fim de fazer com estes protótipos atinjam maior grau de maturidade por meio da aplicação de regras de DFM (Design for Manufacturing)	conforme normas TELECORDIA para confiabilidade de dispositivos optoeletrônicos (GR-468 Generic Reliability Assurance Requirements for Optoelectronic Devices Used in Telecommunication Equipment) e normas do IPC (Institute for Printed Circuits) destinadas ao projeto de Hardware de dispositivos eletrônicos (IPC-2221A	IPC-2222	IPC-2581	IPC-2615	IPC-7351B	IPC-A-600H	IPC-A-610F	IPC-6012D e IPC-6013D).																																											
Digital TV Equipamento portátil para streaming de TV Digital para dispositivos móveis.																																																				
Dispositivo Gerador de Radiofrequência para Aplicação Médica Desenvolvimento de uma solução completa de Hardware	Software Embarcado e Mecânica de um gerador de radiofrequência de 4 canais para tratamento da dor em lesões de pacientes																																																			
Dispositivo para Monitoramento e Qualidade de Energia Desenvolvimento de um dispositivo para monitoramento de grandezas eletricas nas quais os equipamentos médicos (ressonância magnética	tomografia computadorizada e angiografia - TC) estão conectados durante seu funcionamento.																																																			
DSP 10nm Desenvolver uma metodologia de design de ASIC para aplicações de alta performance e baixo consumo de potência.																																																				
E-Racing  veículo elétrico de competição universitária Veículo elétrico de alto desempenho com tração independente nas quatro rodas e direção com piloto e sem piloto (autônomo)	para competir em eventos de nível universitário	como os da Fórmula SAE-Elétrico																																																		
"EMBRAPII GEI - Phase 1 """"""Primeira fase do desenvolvimento do projeto GEI (Global Entry Infotainment). O projeto tem em seu escopo a definição de requisitos e processos"	estratégias de validação e especificação de arquitetura que serão validadas em um uma placa de Hardware	que será desenvolvida com base no kit de desenvolvimento da Qualcomm (QC 8155). Estas atividades servirão para mitigar riscos técnicos e melhorar habilidades da equipe	"e representam a primeira fase do desenvolvimento do projeto GEI da Volkswagen (que será desenvolvido posteriormente). """""""																																																	
Equallizador Digital para Sistemas Ópticos Desenvolvimento de  estimadores e corretores para garantir a qualidade de comunicação óptica.																																																				
Equipamento de Magnetoterapia Desenvolver um equipamento de magnetoterapia para emprego em medicina de reabilitação e fisioterapia.																																																				
Equipamento de Ultrassom Portátil Equipamento de ultrassonografia portátil capaz de realizar procedimentos de diagnóstico por imagens na beira do leito/clinica	inicialmente focado em aplicações ortopédicas e respiratórias.																																																			
Estimulador Neuromuscular Desenvolvimento de um equipamento capaz de realizar procedimentos de fisioterapia e reabilitação.																																																				
Estruturas de Controle Embarcado Desenvolvimento de estruturas automatizadas para controle embarcado de parâmetros em circuitos fotônicos.																																																				
Estudo para Chip Sensor de Impressão Digital Estudos para o desenvolvimento de encapsulamento de chip sensor de impressão digital.																																																				
Estudos sobre Wi-Fi/BT Combo Chip Estudos para o desenvolvimento de um chip Wi-Fi/BT Combo																																																				
Gerenciador de Infusão Adequação de produto e desenvolvimento de plataforma para conectividade e gerenciamento de infusão.																																																				
Gerenciamento de fluxo de aprendizado de máquina Solução para gerenciar e orquestrar os fluxos de aprendizado de máquina	com o uso de sensores físicos e virtualizados	fornecendo uma interface otimizada e flexível para o chipset do computador																																																		
IP DSP-800G-ZR  Desenvolvimento de IPs Digitais e Analógicos para DSP-800G-ZR O objetivo do PROJETO é o desenvolvimento de IPs  Intellectual Property de Verificação Digitais e de layout Analógicos a serem usados em processadores digitais de sinais	que serão fabricados pela PARCEIRA e utilizados em produtos para sistemas de comunicação com circuitos integrados (DSP-ASIC) de próxima geração	compatíveis com módulos ópticos coerentes plugáveis. Os resultados destes IPs para circuitos integrados	incluindo a verificação dos IPs Digitais e dos projetos de layout e verificação física de IPs Analógicos	serão empregados em processos que viabilizam a implementação de sistemas ópticos coerentes desde 100G	200G	300G	400G e 800 Gb/s para suportar aplicações intradatacenter	interdatacenter	em regiões metropolitanas e de longa distância (long-haul) de interconexão de datacenters	com baixo custo de implementação e baixo consumo energético.																																										
Laser Diodo Desenvolvimento de equipamento eletromédico gerador de laser a diodo semicondutor	para procedimentos de medicina estética e de dermatologia.																																																			
Marca Passo Desenvolvimento de um equipamento Marca Passo Externo Bicameral	para uso temporário	para produção e comercialização no mercado brasileiro de um equipamento para uso Hospitalar nos procedimentos de pré-avaliação para implante de Marca Passo Definitivo	em tratamento de arritmias	insuficiências e anomalias cardíacas.																																																
Medidor de Diurese No momento o cliente pede que não haja divulgação do projeto.																																																				
Módulo 5G LATAM O projeto consiste em trabalho direto e cooperativo nas atividades de desenvolvimento de um módulo para conectividade 5G	a ser comercializado pela Intelbras.																																																			
Módulo IoT LoRa desenvolver um sistema capaz de executar algoritmos para realizar testes funcionais e elétricos (paramétricos) em módulos LoRa e que permita a repetibilidade e reprodutibilidade dos testes de forma confiável.																																																				
MOMS_AFE Desenvolvimento de uma plataforma ASIC para condicionamento e conversão Analógica-Digital (AD) de sinais de alta precisão provenientes de diversos sensores	incluindo sensores fotônicos	para detecção de vibração/temperatura	pressão/temperatura em ambientes hostis. O circuito irá incluir também a função de gerenciamento de energia.																																																	
Monitoramento de Baterias Desenvolvimento de uma solução para monitoramento de baterias estacionárias composto por um módulo de coleta de dados com comunicação alternativa à Sigfox. Desenvolvimento de um sistema que permita o controle do parque de baterias monitoradas pelo módulo acima descrito.																																																				
Monitoramento de Cervejeiras Desenvolvimento de solução para detecção de estoque de bebidas em cervejeiras domésticas .																																																				
Monitoramento de Transformadores Desenvolvimento de um dispositivo para o  monitoramento de transformadores de distribuição.																																																				
Monitoramento de Transformadores Fase 2 O objetivo do presente projeto	considerando apenas as macroatividades executadas pela UEELDORADO	é enquadrar o protótipo SLM	no nível de maturidade tecnológica TRL7	através da inclusão de novas funcionalidades dentre as quais está incluída a tecnologia de comunicação LoRa e  do atendimento às normas relativas às suas funcionalidades e resistência mecânica que suporte intempéries	tais como chuva	calor	frio	variações de energia	dentre outros necessários para instalações externas. Ainda como objetivo	através deste projeto serão desenvolvidos o sistema de controle de gestão dos transformadores e os algoritmos de computação em nuvem para permitir que os dados reais dos transformadores de energia obtidos pelo dispositivo SLM	possam ser coletados	armazenados	monitorados e transformados em informações e medidas que possam ser utilizadas como base para diagnósticos automáticos de futuras falhas nos transformadores	monitoramento e gestão eficiente da rede de distribuição de energia elétrica																																						
Motorola Mod DTV Desenvolvimento de um Moto Snap para o modelo de celular Moto Z	com a capacidade de sintonizar a TV Digital brasileira e estender a capacidade de bateria	através da inclusão de um módulo adicional de bateria.																																																		
NANO Desenvolvimento de um dispositivo que possibilitará transformar uma televisão em um computador	com acesso à internet através de conexão de dados via Wi-Fi e LTE/UMTS 3G/4G. Adicionalmente	o dispositivo fará a sintonia de televisão digital (padrão adotado no Brasil	ISDB-T)	com a sintonia dos canais sendo feita através do dispositivo.																																																
ONIX Easy Cough O projeto consiste em trabalho cooperativo de desenvolvimento de uma solução que auxilia o deslocamento e a remoção de secreções pulmonares em pacientes que possuem dificuldade ou são incapazes de tossir. Geralmente esses pacientes sofrem de condições que dificultam a respiração ou reduzem a força dos músculos respiratórios	necessitando de estímulos através de fluxo de ar.																																																			
Plataforma de Umidificador Ativo Plataforma de Umidificador Ativo com melhor umidificação para sistemas de ventilação invasivos e não-invasivos e para terapias de alto fluxo de oxigênio	para aplicações na área de Terapias Respiratórias.																																																			
Plataforma Inteligente de Coleta - PIC Desenvolvimento de uma estação de captura de dados meteorológicos e agronômicos	projetada para funcionar no campo com alimentação por energia solar e comunicando-se via rede celular ou satélite. Esta estação poderá ser instalada diretamente no solo ou em um pivô de irrigação. Os dados por ela coletados serão transmitidos para um sistema em nuvem que proverá aos agricultores informações sobre suas plantações	bem como previsões meteorológicas personalizadas de curto	médio e longo prazo	com precisão e assertividade	de modo a auxiliá-los  em suas tomadas de decisão.																																															
Plataforma inteligente para fabricação de baterias automotivas Plataforma para coletar dados do ciclo de vida de baterias automotivas	visando a geração de informações para tomada de decisão inteligente	com o uso da tecnologia e inovação envolvendo soluções em Cloud	Analytics e Machine Learning.																																																	
Plataforma veicular de aplicações Conceituação e desenvolvimento de uma  plataforma de aplicações móveis voltadas à conexão de veículos e ao suporte ao usuário.																																																				
Plataformas para Ativação e Validação de Detectores de Raio-X Este projeto visa o desenvolvimento de plataformas automatizadas para ativação e validação de subsistemas que compõe um detector de raio-x de área larga e alta taxa de amostragem para linhas de luz síncrotron.																																																				
Processamento Multiespectral - Fusão de Dados de Cana-de-Açúcar Desenvolvimento de uma solução para estimativa de fatores que afetam a produtividade de campos de cana-de-açúcar	utilizando imagem multiespectral ou múltiplas imagens de diferentes espectros	portando arquitetura modelada para embarcar a solução em processadores de média a alta capacidade de processamento.																																																		
Processos Produtivos avançados para Detectores de Raio-X Desenvolvimento de processos produtivos para detectores de raio-x	para aplicação em experimentos científicos Na linhas de luz síncroton.																																																			
Rádio Digital Desenvolvimento de rádio de comunicação para sistemas de energia.																																																				
Rádio Wi-SUN Desenvolvimento de rádio Wi-SUN para IoT.																																																				
Rádios LPWAN Desenvolvimento de Rádios LPWAN para medição remota de medidores de energia.																																																				
Sensor de corrente para microinversores usando Nitreto de Gálio (GaN) Projeto	encapsulamento e teste de um sensor de corrente para microinversores de potência baseados em Nitreto de Gálio (GaN). O projeto consiste no desenvolvimento do circuito de sensoriamento de corrente	de um microinversor de potência e do encapsulamento de um SiP.																																																		
SIGMA Desenvolvimento de solução sistêmica baseada em câmera multiespectral de baixo custo para otimização de manejo e gestão  agronômica de culturas.																																																				
Sistema de Gerenciamento de Energia Residencial - HEMS Este projeto propõe o desenvolvimento de um sistema HEMS (Home Energy Management System - Sistema de Gerenciamento de Energia Residencial)	composto por uma unidade de controle do uso/geração de energia e tomadas inteligentes que se comunicarão através do perfil HAN da WI-SUN Alliance. O sistema HEMS se comunicará com um medidor inteligente através do perfil FAN e também possuirá comunicação Wi-Fi para envio das informações coletadas das tomadas inteligentes e recepção de comandos de configuração e controle das tomadas.																																																			
Sistema de Testes Automatizados para Ventiladores Pulmonares Solução de automação de testes baseados em software de controle e hardware especializado para acelerar a capacidade produtiva de ventiladores pulmonares.																																																				
Solução de Monitoramento de Tanques de Leite O objetivo do PROJETO é o desenvolvimento de uma solução para monitoramento de tanques de leite em caminhões	empregando tecnologias de Internet of Things (Internet das Coisas)	permitindo o controle de temperatura do leite transportado. A solução será composta por um sistema de eletrônica embarcada a ser integrado aos sensores que serão instalados nos tanques de leite	com a função de realizar as medidas de temperatura.																																																	
Solução Para Pesagem Dinâmica de Veículos em Rodovias Desenvolvimento de uma solução composta por um sistema de eletrônica embarcada integrado a células de pesagem e sensores de piso capaz de realizar a pesagem por eixo de veículos em rodovias trafegando em velocidades regulamentadas. Esta pesagem deve ocorrer em tempo real por meio de conversões de sinais analógicos/digitais de alta velocidade	aplicando processamento paralelo destes sinais e observando as restrições de erro máximo admissível para o peso do veículo.																																																			
Solução para Terminais ISOBUS-VT Desenvolvimento de uma solução para terminais ISOBUS-VT	composta por Hardware	Firmware e aplicativo Android	com o uso de tablets de baixo custo	para realizar o controle eletrônico de veículos	por meio de barramento CAN/ISOBUS.																																															
Solução SaaS para Simulação Estrutural e Otimização de Peças usando CAE Este projeto se baseia na criação de um inovador sistema SaaS no qual o usuário acessa o software remotamente na nuvem. O mercado alvo de aplicação é composto por empresas pequenas e médias que	pelo uso do sistema	terão as seguintes vantagens: Excelente custo-benefício: pagamento somente pelo tempo de uso; Acesso remoto usando navegadores de internet; Acesso a versões mais novas e eficientes de hardware no servidor	sem a necessidade de investimento em aquisição e manutenção de hardware; Transformação do investimento em software de despesa fixa para variável (CapEx -> OpEx); Portabilidade: acesso ao sistema de qualquer lugar	proporcionando praticidade e flexibilidade ao usuário; As análises são rodadas em supercomputadores	nos quais a solução é muito mais rápida quando comparada aos desktops locais;  Sem necessidade de instalação de qualquer software no desktop local.																																															
Soluções para luminárias LED Desenvolvimento de soluções para luminárias LED																																																				
Virtual_Keys Solução computacional Móvel e Web para o controle de acesso a veículos por meio de BLE e RFID																																																				
: Bioinsumo fúngico para aplicação em cultivo de cana-de-açúcar obtido a partir de vinhaça de milho Desenvolver bioinsumo à base de levedura e vinhaça de milho para aplicação em cultura de cana-de-açúcar																																																				
Biodefensivo formulado com sobrenadantes/extratos brutos obtidos de macrofungos associado com biofertilizante no controle de fungosfitopatogênicos Obter extratos brutos/sobrenadantes e biodefensivo formulado com bioativos de macrofungos associado ao biofertilizante Acrescent® capazes de controlar fungos patogênicos em condições de laboratório e campo agrícola experimental.																																																				
Bioestimulante obtido de macroalga cultivada no Brasil para aumento da produtividade em cultivos agrícolas Desenvolver um bioestimulante à base de macroalgas																																																				
Biofertilizantes para aumentar a produtividade da soja Produzir um biofertilizante com bionsumos da cianobactéria e validar sua eficiência no aumento de produtividade da soja.																																																				
Biomassas residuais da agroindústria do dendê enriquecidas com minerais e fermentadas por fungos filamentosos e bactérias promotoras do crescimento vegetal para produção de insumos biológicos. Obter insumos biológicos com potencial aplicação como inoculantes	foliares e sulcos de plantio e/ou sementes	ricos em NPK e micronutrientes a partir do cultivo de microrganismos em resíduos vegetais da agroindústria do dendê enriquecidos com minerais.																																																		
Cana-de-açúcar geneticamente modificada para resistência a herbicida e a insetos lepidópteros (broca-da-cana) e coleópteros (bicudo-da-cana) Desenvolver eventos elite de cana-de-açúcar em variedades comerciais para resistência ao herbicida glifosato e com ação inseticida para controle biológico dos insetos-praga broca-de-cana e bicudo-da-cana e com potencial de produção de etanol 2G.																																																				
Desenvolvimento de insumos biológicos para agricultura com base em fungos micorrízicos arbusculares (FMAs) e associações com outros microrganismos promotores de crescimento de plantas Produzir insumos microbianos para promoção de crescimento vegetal e/ou condicionadores de solo a partir de fungos micorrízicosarbusculares (FMAs) cultivados em cultura de tecido vegetal usando meios enriquecidos com metabólitos microbianos e/ou combinados comoutros microrganismos promotores de crescimento de plantas (PGPMs).																																																				
Desenvolvimento tecnológico para o estabelecimento da macaúba na bioeconomia brasileira Desenvolver soluções tecnológicas aplicáveis à exploração de cultivos comerciais da macaúba em sintonia com modelos produtivos sistêmicos	multifuncionais e descarbonizados	preconizados pela bioeconomia.																																																		
Estirpes microbianas com capacidade de solubilizar fósforo Prospectar estirpes microbianas isoladas da biodiversidade brasileira capazes de solubilizar fósforo e avaliar a propagação em escala laboratorial das estirpes selecionadas como elite.																																																				
Extratos brutos de enzimas	substâncias bioativas e biomassas microbianas obtidas a partir dos resíduos da produção de cogumelos comestíveis Agregar valor aos resíduos da cadeia de cogumelos a partir da obtenção de biomassa microbiana	substâncias bioativas e extratos enzimáticos.																																																		
Insumos biológicos para nutrição de plantas obtidos de resíduos agroindustriais (açaí e avicultura) pré-tratados por processos combinados Obter insumos biológicos a partir de combinações de processos (físico-químico-biológico) de resíduos das agroindústrias (açaí/avicultura) para composição de biofertilizantes aplicados à nutrição de plantas.																																																				
Produção  de  bioestimulantes  vegetais  derivados  de  macroalgas ou cianobactérias O projeto objetiva produzir bioestimulantes vegetais derivados de macroalgas ou cianobactérias.																																																				
Produção de corantes por via biotecnológica O projeto visa desenvolver um processo de produção de corante utilizando-se microrganismo por via biotecnológica.																																																				
Produção de diesel renovável a partir da hidrogenação de bio-óleo de resíduos ósseos de aves Obter processo para obtenção de diesel renovável pela hidrogenação do bio-óleo da pirólise de resíduos ósseos de aves.																																																				
Produção de dsRNA via processo fermentativo e uso da tecnologia de RNA interferente (RNAi) para controle ervas daninhas	percevejos	insetos-praga	nematoides e doenças nas culturas agrícolas de importância econômica. Desenvolver um processo de produção de dsRNAs em vetores de RNA de dupla fita	preferencialmente Escherichia coli e utilizar a tecnologia de RNA interferente (RNAi) para controle de nematoides	ervas daninhas	percevejos	insetos-praga e doenças de importância econômica nas culturas agrícolas.																																													
Produção de insumos microbiológicos com ação bioestimulante para aumento da produtividade em soja. Processo de produção de linhagens bacterianas e/ou fúngicas e seus sobrenadantes. Mistura bioestimulante caracterizada contendo células e/ou sobrenadantes visando uso no cultivo de soja.																																																				
Produção de variedades comerciais de cana-de-açúcar transgênica para aumento da biomassa e da produção de etanol 1G e 2G. O projeto resultará em inovações tecnológicas para um considerável aumento na produtividade da cultura de cana-de-açúcar. Serão produzidos eventos transgênicos comerciais apresentando resistência a herbicida e a insetos em materiais de cana-de-açúcar.																																																				
Produção e caracterização de compostos nematotóxicos a partir da conversão microbiana de bagaço de cana-de-açúcar e vinhaça Avaliar o potencial de fungos  quanto a capacidade de produção de compostos químicos nematotóxicos quando cultivados em meio a base de bagaço de cana-de-açúcar/vinhaça.																																																				
Produção renovável de diácidos orgânicos a partir da transformação de lignina por processos de conversão enzimáticos e químico-oxidativos Produzir ácidos orgânicos por meio da transformação da lignina  por rota enzimática ou química.																																																				
Prospecção de extratos e compostos bioativos de fungos e plantas para aplicação no controle de fitonematoides O projeto visa obter extratos ativos de fungos cultivados em resíduos agroindustriais como substratos; bem como de extratos de matérias-primas in natura	resíduos de biomassa in natura	para fornecer compostos naturais com ação nematicida contra o fitonematoide modelo: M. incognita.																																																		
Substâncias bioativas como aditivos para nutrição de bovinos produzidas por macrofungos ou fungos filamentosos Obter ao menos 5 cepas fúngicas capazes de produzir substâncias bioativas e enzimas para composição de aditivos alimentares promotores de crescimento e de eficiência alimentar na nutrição de bovinos.																																																				
Traits para aumento da concentração de sacarose e tolerância ao alumínio em cana-de-açúcar Validação tecnológica da manipulação genética dos genes BAHD5 e SbMATE para o aumento de sacarose e tolerância ao alumínio	respectivamente	em cana-de-açúcar por técnicas edição genômica e transgenia.																																																		
ACTF Comdeagro Desenvolver um uma prova de conceito capaz de realizar o diagnóstico precoce de doenças da soja e do algodão com potencial para ser aplicado em campo. Será avaliada	também	a possibilidade de o uma prova de conceito ser embarcado em implemento e/ou máquina agrícola já utilizado no manejo da cultura em diferentes sistemas de produção de algodão e soja em Mato Grosso.																																																		
Desenvolvimento do Protótipo do GRAS (Grain Analytic System) Desenvolver o protótipo do equipamento Grain Analytic System (GRAS) e aprimorar suas funcionalidades	utilizando técnicas fotônicas avançadas para classificar defeitos em grãos de soja sem a necessidade do corte.																																																			
